# Vs (V)  ─ 行:转速(rpm), 列:扭矩(Nm), Thet=45°
,0,41,82,122,163,204,245,286,327,367
500,0.0,32.86833615354284,42.749966323719015,52.71968289574098,63.07703793749692,74.71077005677962,88.03821384561932,103.9619208101031,124.18461598596608,150.51132915496706
1333,0.0,87.65148288409189,114.0030087782218,140.589667065947,168.20987342211586,199.23306636072863,234.77485762460873,277.241598899467,331.17264759586124,
2167,0.0,142.43451850713353,185.2558909784376,228.4593936429579,273.34230647823034,323.754938731619,381.5106095510698,450.52034904354656,538.1593498754384,
3000,0.0,197.21018395139583,256.5000115314468,316.31852742831245,,,,,,
3833,,,,,,,,,,
4667,,,,,,,,,,
5500,,,,,,,,,,
6333,,,,,,,,,,
7167,,,,,,,,,,
8000,,,,,,,,,,
