# Is (A)  ─ 行:转速(rpm), 列:扭矩(Nm), Thet=45°
,0,41,82,122,163,204,245,286,327,367
500,0.0,36.266897207338125,63.72622986974547,90.91436682891378,118.79203096107923,149.80881308160428,185.18273323812227,227.30870163718018,280.6663362012069,350.0
1333,0.0,36.26978909577291,63.729435766055104,90.91825183646425,118.79646895265493,149.81315837980796,185.18898584370757,227.31842714610752,280.67984532727365,
2167,0.0,36.27038000713174,63.730073554772105,90.91898825046478,118.79724550816204,149.81390031373925,185.18988295495987,227.32010537350743,280.68215449218354,
3000,0.0,36.266980208779266,63.72632808595352,90.91455990199375,,,,,,
3833,,,,,,,,,,
4667,,,,,,,,,,
5500,,,,,,,,,,
6333,,,,,,,,,,
7167,,,,,,,,,,
8000,,,,,,,,,,
