# T_avg (Nm)  ─ 行:转速(rpm), 列:扭矩(Nm), Thet=45°
,0,41,82,122,163,204,245,286,327,367
500,0.0,40.825494503839565,81.65098900767913,122.4764835115187,163.30197801535826,204.12747251919782,244.9529670230374,285.778461526877,326.6039560307165,367.42945053455605
1333,0.0,40.825494503839565,81.65098900767913,122.4764835115187,163.30197801535826,204.12747251919782,244.9529670230374,285.778461526877,326.6039560307165,
2167,0.0,40.825494503839565,81.65098900767913,122.4764835115187,163.30197801535826,204.12747251919782,244.9529670230374,285.778461526877,326.6039560307165,
3000,0.0,40.825494503839565,81.65098900767913,122.4764835115187,,,,,,
3833,,,,,,,,,,
4667,,,,,,,,,,
5500,,,,,,,,,,
6333,,,,,,,,,,
7167,,,,,,,,,,
8000,,,,,,,,,,
