time_s,PhaseA_V,PhaseB_V,PhaseC_V,Torque_Nm
2.024999999999999890e-03,1.118296001146109973e+02,9.263418588286539546e+01,-2.053866809222840004e+02,-1.556402352191879959e-02
2.099999999999999870e-03,1.081101851564099974e+02,1.057605516660320006e+02,-2.158747121466369947e+02,-1.008068785206719942e-01
2.174999999999999850e-03,1.023044878477600008e+02,1.095644668907749804e+02,-2.127567044048199989e+02,5.393911481702799993e-01
2.249999999999999830e-03,7.857285998438270269e+01,1.152499869833749955e+02,-1.974308222483919906e+02,1.840687895800509954e+00
2.324999999999999810e-03,4.017500335156130120e+01,1.361442504812239918e+02,-1.983866380351649923e+02,-1.349579416380189967e+00
2.399999999999999790e-03,1.264687292669379914e+01,1.710181524221200107e+02,-2.035929100525640081e+02,-7.750821411151369578e-01
2.475000000000000203e-03,3.069254425865919345e+00,2.049941155691469987e+02,-2.137686095170220142e+02,-1.849473484742109874e-01
2.550000000000000183e-03,-6.827369478223930255e-01,2.159482092981540120e+02,-2.137440144115510066e+02,-1.386495675073569911e-01
2.625000000000000163e-03,-5.407891545396630306e+00,2.103995644130839651e+02,-1.982207287261759916e+02,1.508849503784440049e+00
2.700000000000000143e-03,-1.985520776682020028e+01,2.014547891105590054e+02,-1.565201104938429921e+02,3.047543444935270074e-01
2.775000000000000123e-03,-5.295052076246769701e+01,1.950152263108880106e+02,-1.262750391298719848e+02,-1.680598699100589899e+00
2.850000000000000103e-03,-8.952891815245949658e+01,2.029249286462099917e+02,-1.125451908855380054e+02,-2.931943382860420153e-02
2.925000000000000083e-03,-1.049196080239800040e+02,2.150699113065319921e+02,-1.083114994998369980e+02,1.343060885899499957e-01
3.000000000000000062e-03,-1.096871675060440054e+02,2.144569435592410116e+02,-1.032369759624260013e+02,6.434361432476409792e-01
3.075000000000000042e-03,-1.137506907405589942e+02,1.998761634311339890e+02,-8.323948968268709336e+01,1.772638911433940034e+00
3.150000000000000022e-03,-1.332879039158729597e+02,1.978895014644049866e+02,-4.430685714741370163e+01,-1.148821065001129904e+00
3.225000000000000002e-03,-1.662176514245180101e+02,2.027233560726249948e+02,-1.457441131247129995e+01,-1.030413178422340037e+00
3.300000000000000416e-03,-2.026406170014599866e+02,2.131016042839659690e+02,-3.380321974475459790e+00,-3.418201118209410194e-01
3.374999999999999528e-03,-2.168452939681760085e+02,2.165605823064259994e+02,2.130834022936090033e-01,-7.073379514074440433e-01
3.449999999999999942e-03,-2.110465801087179898e+02,1.991205474975839991e+02,4.426385423662580365e+00,1.373873046166059986e+00
3.524999999999999922e-03,-2.018896801532279994e+02,1.611577220570609654e+02,1.699796105525210166e+01,8.707250830481449988e-01
3.599999999999999901e-03,-1.979157541617369986e+02,1.290920805556739879e+02,4.905581653179189772e+01,-1.750294868216889954e+00
3.674999999999999881e-03,-2.002741112578609943e+02,1.130967495828219995e+02,8.588360829667669805e+01,-1.251617426949490075e-01
3.749999999999999861e-03,-2.134666771850590123e+02,1.082288189640560034e+02,1.033693254563810058e+02,2.398782495974939866e-01
3.824999999999999841e-03,-2.155405949540200083e+02,1.041987993784070028e+02,1.091653474005040039e+02,5.855965602917490020e-01
3.899999999999999821e-03,-2.007091662013189932e+02,8.643927946995160028e+01,1.134134545986899951e+02,1.782866193855590087e+00
3.975000000000000235e-03,-1.970444770549260056e+02,4.852376055082859807e+01,1.295674327029169888e+02,-7.058878438865969773e-01
4.049999999999999781e-03,-2.019042051129439983e+02,1.672143630431959949e+01,1.616498684043170044e+02,-1.183776216849180107e+00
4.125000000000000194e-03,-2.125140352290119949e+02,4.501905794971339247e+00,2.012222032156599880e+02,-2.468971662661040012e-01
4.199999999999999740e-03,-2.165514646389979987e+02,5.238640792271100077e-02,2.158695755444319673e+02,-7.513203040263880528e-01
4.275000000000000154e-03,-2.027673722720550131e+02,-3.631603729736069930e+00,2.125248057222929674e+02,1.067950657656530078e+00
4.349999999999999700e-03,-1.647921745249109904e+02,-1.500647954362150038e+01,2.019502989161140079e+02,1.291494402075080039e+00
4.425000000000000114e-03,-1.320650230010859900e+02,-4.569942708417189436e+01,1.984178284175229976e+02,-1.628298709720999993e+00
4.499999999999999660e-03,-1.137403792259109849e+02,-8.223715771061699797e+01,1.983848039461400106e+02,-3.308249764424009975e-01
4.575000000000000074e-03,-1.089081753202609946e+02,-1.025640470038590024e+02,2.138774846273950061e+02,1.435276305462790114e-01
4.649999999999999620e-03,-1.041510103454289862e+02,-1.088314111911760023e+02,2.147381782038580127e+02,7.174225313151939565e-01
4.725000000000000033e-03,-9.038962677894539866e+01,-1.121691708630159923e+02,2.032263038835330065e+02,1.711742775758199997e+00
4.799999999999999580e-03,-5.288267444483000190e+01,-1.266790578981839985e+02,1.955188764220719975e+02,-4.058221718108460108e-01
4.874999999999999993e-03,-1.925966367328259565e+01,-1.571387386916150035e+02,2.008287010967009962e+02,-1.378342110867200043e+00
4.950000000000000407e-03,-5.229191814463129973e+00,-1.974300562568330122e+02,2.118238467893420136e+02,-2.214518869393020117e-01
5.025000000000010361e-03,-5.352261795380880427e-01,-2.147763545699079941e+02,2.156270252188049881e+02,-3.711070915287850158e-01
5.100000000000009907e-03,3.224697080974240126e+00,-2.141372963058739742e+02,2.063082073121989879e+02,6.523919917895669718e-01
5.175000000000010321e-03,1.329724444406160089e+01,-2.023954930801439787e+02,1.704065647714689931e+02,1.733626280152879895e+00
5.250000000000009867e-03,4.074981598240230340e+01,-1.988887716154329723e+02,1.351136833029489992e+02,-1.504215419051760039e+00
5.325000000000010281e-03,7.907283882845709400e+01,-1.972509474173969863e+02,1.149407330400289879e+02,-5.390633906421889998e-01
5.400000000000009827e-03,1.011535356389489948e+02,-2.122288108566060032e+02,1.092388809110709929e+02,-3.111138115301720006e-02
5.475000000000010240e-03,1.082842671726040038e+02,-2.150867626032599844e+02,1.054105795077019962e+02,3.275710595254570090e-01
5.550000000000009787e-03,1.120340273204720063e+02,-2.061939052914420074e+02,9.329560214814678432e+01,1.635457227882509912e+00
5.625000000000010200e-03,1.241466250175989927e+02,-1.959603172352819911e+02,5.736963845547229823e+01,-4.346977388110710022e-02
5.700000000000009746e-03,1.531325387749729714e+02,-2.006464952044269978e+02,2.197627355707129837e+01,-1.523992781615360004e+00
5.775000000000011027e-03,1.936810569563380113e+02,-2.102730081548329792e+02,5.943298678267409763e+00,-1.582573465842030125e-01
5.850000000000009706e-03,2.139743841402859914e+02,-2.162372858729569600e+02,6.823931796758520019e-01,-2.979321761328380114e-01
5.925000000000009252e-03,2.147870490962170038e+02,-2.080063147620240045e+02,-2.515342133377899803e+00,6.866302662395840084e-01
6.000000000000009666e-03,2.036345623500909596e+02,-1.749192930471579928e+02,-1.176328276435179987e+01,1.897154080788149955e+00
6.075000000000010079e-03,2.003863089120499978e+02,-1.384612518565980110e+02,-3.576590754807870098e+01,-1.309296585929220047e+00
6.150000000000009626e-03,1.964419061088269700e+02,-1.161372909203449950e+02,-7.544369111558049212e+01,-7.974061095562009482e-01
6.225000000000010039e-03,2.111225278614469971e+02,-1.094409867168100021e+02,-9.906536435477079294e+01,-2.493888092623559871e-01
6.300000000000009585e-03,2.148258471934639999e+02,-1.055281933041879938e+02,-1.076056307026709788e+02,-8.993373764060949571e-02
6.375000000000009999e-03,2.079495735397889860e+02,-9.627149737120940642e+01,-1.117956323990910050e+02,1.573506101020200054e+00
6.450000000000010413e-03,1.944617666606069974e+02,-6.144983311466729958e+01,-1.216381611978089978e+02,3.911059604521689992e-01
6.525000000000009959e-03,2.015932522924360057e+02,-2.506698043594419900e+01,-1.505040884867109980e+02,-1.618301674769929921e+00
6.600000000000010372e-03,2.087127368725950021e+02,-7.101084716850669665e+00,-1.897088415464060063e+02,-2.405119432343909985e-02
6.675000000000009918e-03,2.162290965303969870e+02,-1.226626031620339896e+00,-2.125105767492989912e+02,6.538294278138659377e-02
6.750000000000010332e-03,2.095141150640399985e+02,2.091098479224399842e+00,-2.152021439649379886e+02,8.362785134965690093e-01
6.825000000000020287e-03,1.792430023393499994e+02,1.029029373411760062e+01,-2.054121465707139862e+02,1.863100368890939995e+00
6.900000000000019833e-03,1.415322483585470081e+02,3.223763496292610142e+01,-1.997766067213709960e+02,-1.159108470861760054e+00
6.975000000000020246e-03,1.175584817191970046e+02,7.207273832804320080e+01,-1.956786156919980044e+02,-1.012827628322580109e+00
7.050000000000019793e-03,1.100835183853439929e+02,9.757574243528820546e+01,-2.093298564221499873e+02,-4.629237934766040063e-01
7.125000000000020206e-03,1.069475824361270071e+02,1.073075627337340023e+02,-2.165119785549669871e+02,-5.962020380805780340e-01
7.200000000000019752e-03,9.768873253418909997e+01,1.108373342047890020e+02,-2.085330964071650044e+02,1.360193395378930026e+00
7.275000000000020166e-03,6.564624299567020671e+01,1.198994223775419954e+02,-1.943322113168420060e+02,8.470509249677740105e-01
7.350000000000019712e-03,2.852244973279890061e+01,1.460436016174309657e+02,-2.003737283266939926e+02,-1.655018343009990067e+00
7.425000000000020126e-03,8.223866022357329442e+00,1.846996441407370071e+02,-2.072522580399810010e+02,-1.339129919851310135e-01
7.499999999999999722e-03,1.666819935120749996e+00,2.107597023231639639e+02,-2.139596097101789667e+02,1.994946224090239917e-01
7.575000000000000136e-03,-1.793199833887890060e+00,2.151341255343279784e+02,-2.117814416001820064e+02,6.613236245618629994e-01
7.649999999999999682e-03,-9.001449631288089392e+00,2.073866715510259837e+02,-1.862113656893579616e+02,1.750577408363370058e+00
7.725000000000000096e-03,-2.864458536195769867e+01,2.000495421046919944e+02,-1.448757874733450137e+02,-8.796892424801630028e-01
7.799999999999999642e-03,-6.705983286114459929e+01,1.947323090374140122e+02,-1.195380161829040020e+02,-1.174326837929559941e+00
7.875000000000000056e-03,-9.628865411518827955e+01,2.085973863081239585e+02,-1.106636266400380038e+02,-3.685761605979129829e-01
7.950000000000000469e-03,-1.067980955480569918e+02,2.158997057513309983e+02,-1.075515855647280006e+02,-5.980879266364970137e-01
8.024999999999999148e-03,-1.104307133387879816e+02,2.108692648694709817e+02,-9.991457368149029605e+01,9.567709607307609554e-01
8.099999999999999561e-03,-1.186642969634399947e+02,1.954416284784070115e+02,-7.022143972766680520e+01,1.230435930323769966e+00
8.174999999999999975e-03,-1.427632436950229931e+02,2.006241686332649863e+02,-3.207603807362369963e+01,-1.655029149252420062e+00
8.250000000000000389e-03,-1.798640677035859881e+02,2.059345969326460022e+02,-9.343150222404689842e+00,-3.606487223605590042e-01
8.325000000000000802e-03,-2.096581212013319941e+02,2.156558559111990121e+02,-1.691876213392909944e+00,2.213678091888059973e-01
8.399999999999999481e-03,-2.152184136306169933e+02,2.124456919163729651e+02,1.141591413064140026e+00,4.921619592220999873e-01
8.475000000000010303e-03,-2.083154839961840139e+02,1.884415260150680069e+02,7.520369325951420159e+00,1.613239877949399936e+00
8.550000000000008982e-03,-2.010879786993100140e+02,1.490416646988959997e+02,2.509386386504920097e+01,-4.294157529841229892e-01
8.625000000000009395e-03,-1.945159544098760023e+02,1.212657688175289934e+02,6.130640075617289142e+01,-1.386389872333070095e+00
8.700000000000009809e-03,-2.074833654490070103e+02,1.113255970392930010e+02,9.489034562060109579e+01,-2.195329429571699908e-01
